fips_code,state,county,population,poverty_pct,bachelors_pct,median_income,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status,_merge
20043,Kansas,Doniphan,7492,9.8,21.5,72833,,,,,,left_only
20049,Kansas,Elk,2464,16.7,20.6,56087,,,,,,left_only
20065,Kansas,Graham,2406,11.3,27.4,52909,,,,,,left_only
20067,Kansas,Grant,7284,5.4,25.6,72484,,,,,,left_only
20071,Kansas,Greeley,1296,10.0,33.5,78819,,,,,,left_only
20075,Kansas,Hamilton,2485,3.7,20.8,61929,,,,,,left_only
20081,Kansas,Haskell,3695,10.8,22.2,69138,,,,,,left_only
20083,Kansas,Hodgeman,1676,6.0,28.4,63125,,,,,,left_only
20089,Kansas,Jewell,2909,12.8,18.8,52344,,,,,,left_only
20093,Kansas,Kearny,3910,6.1,14.6,74135,,,,,,left_only
20095,Kansas,Kingman,7284,9.4,23.8,59819,,,,,,left_only
20097,Kansas,Kiowa,2422,5.7,27.6,73214,,,,,,left_only
20099,Kansas,Labette,19949,16.1,21.1,55439,,,,,,left_only
20101,Kansas,Lane,1497,8.1,24.6,53042,,,,,,left_only
20105,Kansas,Lincoln,2924,11.9,21.5,53546,,,,,,left_only
20109,Kansas,Logan,2720,13.2,26.7,71389,,,,,,left_only
20111,Kansas,Lyon,32145,15.2,27.7,59078,,,,,,left_only
20113,Kansas,McPherson,30130,9.1,33.1,77701,,,,,,left_only
20119,Kansas,Meade,3949,6.6,22.8,74868,,,,,,left_only
20123,Kansas,Mitchell,5767,12.5,25.4,58233,,,,,,left_only
20127,Kansas,Morris,5388,12.8,27.3,56716,,,,,,left_only
20129,Kansas,Morton,2647,14.8,16.6,65625,,,,,,left_only
20135,Kansas,Ness,2659,11.4,23.0,66107,,,,,,left_only
20137,Kansas,Norton,5392,8.5,19.4,50305,,,,,,left_only
20139,Kansas,Osage,15780,11.0,21.0,70216,,,,,,left_only
20141,Kansas,Osborne,3473,12.5,23.0,59408,,,,,,left_only
20143,Kansas,Ottawa,5782,12.1,24.3,76755,,,,,,left_only
20145,Kansas,Pawnee,6220,11.2,18.8,63625,,,,,,left_only
20147,Kansas,Phillips,4874,13.8,22.3,61235,,,,,,left_only
20151,Kansas,Pratt,9120,9.5,26.6,64348,,,,,,left_only
20153,Kansas,Rawlins,2533,10.1,17.3,65000,,,,,,left_only
20157,Kansas,Republic,4662,14.6,25.4,53611,,,,,,left_only
20159,Kansas,Rice,9389,7.4,24.3,63947,,,,,,left_only
20161,Kansas,Riley,71710,22.0,48.0,59560,,,,,,left_only
20173,Kansas,Sedgwick,524810,14.0,31.6,67675,,,,,,left_only
20175,Kansas,Seward,21640,13.0,12.7,62269,,,,,,left_only
20179,Kansas,Sheridan,2442,10.4,24.3,70000,,,,,,left_only
20181,Kansas,Sherman,5919,10.0,25.1,64444,,,,,,left_only
20183,Kansas,Smith,3579,7.8,24.6,57024,,,,,,left_only
20185,Kansas,Stafford,4004,10.8,26.3,63786,,,,,,left_only
20187,Kansas,Stanton,2018,12.9,23.7,70361,,,,,,left_only
20189,Kansas,Stevens,5212,15.3,16.2,61909,,,,,,left_only
20195,Kansas,Trego,2778,5.5,28.7,73375,,,,,,left_only
