state,county,2023_violent_crime,2023_property_crime,2024_violent_crime,2024_property_crime,metro_status
Idaho,Fremont,16.0,44.0,9.0,42.0,Non-Metro
Idaho,Gooding,20.0,49.0,19.0,23.0,Non-Metro
Idaho,Idaho,47.0,32.0,10.0,51.0,Non-Metro
Idaho,Latah,11.0,62.0,19.0,50.0,Non-Metro
Idaho,Lincoln,25.0,29.0,16.0,18.0,Non-Metro
Idaho,Madison,6.0,27.0,3.0,56.0,Non-Metro
Idaho,Oneida,10.0,24.0,30.0,19.0,Non-Metro
Idaho,Payette,27.0,54.0,27.0,53.0,Non-Metro
Idaho,Shoshone,33.0,60.0,32.0,57.0,Non-Metro
Idaho,Teton,22.0,32.0,9.0,33.0,Non-Metro
Idaho,Valley,36.0,72.0,18.0,55.0,Non-Metro
Idaho,Washington,6.0,6.0,4.0,8.0,Non-Metro
Illinois,Bond,5.0,34.0,8.0,27.0,Metro
Illinois,Boone,21.0,110.0,32.0,106.0,Metro
Illinois,Calhoun,9.0,13.0,7.0,10.0,Metro
Illinois,Champaign,111.0,339.0,80.0,314.0,Metro
Illinois,Clinton,10.0,52.0,6.0,59.0,Metro
Illinois,Cook,319.0,810.0,601.0,1585.0,Metro
Illinois,DeKalb,28.0,84.0,34.0,94.0,Metro
Illinois,DuPage,52.0,367.0,53.0,340.0,Metro
Illinois,Ford,9.0,21.0,5.0,26.0,Metro
Illinois,Grundy,27.0,81.0,22.0,75.0,Metro
Illinois,Henry,15.0,74.0,14.0,64.0,Metro
Illinois,Jersey,15.0,45.0,15.0,67.0,Metro
Illinois,Kankakee,100.0,174.0,83.0,132.0,Metro
Illinois,Kendall,44.0,124.0,36.0,135.0,Metro
Illinois,Macoupin,18.0,47.0,17.0,60.0,Metro
Illinois,Madison,82.0,709.0,100.0,665.0,Metro
Illinois,Marshall,4.0,29.0,0.0,52.0,Metro
Illinois,McHenry,41.0,172.0,33.0,181.0,Metro
Illinois,McLean,26.0,82.0,25.0,90.0,Metro
Illinois,Monroe,4.0,26.0,3.0,6.0,Metro
Illinois,Peoria,167.0,553.0,153.0,526.0,Metro
Illinois,Piatt,7.0,43.0,8.0,59.0,Metro
Illinois,Rock Island,47.0,228.0,40.0,320.0,Metro
Illinois,Sangamon,172.0,706.0,156.0,720.0,Metro
Illinois,St. Clair,125.0,340.0,97.0,270.0,Metro
Illinois,Tazewell,30.0,208.0,29.0,214.0,Metro
Illinois,Will,197.0,557.0,164.0,563.0,Metro
Illinois,Winnebago,121.0,281.0,131.0,269.0,Metro
Illinois,Adams,24.0,195.0,25.0,175.0,Non-Metro
Illinois,Bureau,4.0,76.0,2.0,94.0,Non-Metro
Illinois,Carroll,1.0,35.0,0.0,25.0,Non-Metro
Illinois,Cass,2.0,2.0,1.0,1.0,Non-Metro
Illinois,Clark,2.0,41.0,2.0,51.0,Non-Metro
Illinois,Coles,23.0,45.0,14.0,75.0,Non-Metro
Illinois,Crawford,14.0,45.0,5.0,19.0,Non-Metro
